Lab.ID,Compound.name,mz,RT,CAS.ID,HMDB.ID,KEGG.ID,Formula,mz.pos,mz.neg,Submitter,INCHIKEY,SMILE,Source,date,synonyms,Species_all,superclass,class,subclass,parent_levels,description
C00007279,2-Aminoethanol,61.05276385,NA,141-43-5,,,C2H7NO,NA,NA,Xiao Wang,HZAXFHJVJLSVMW-UHFFFAOYSA-N,OCCN,KNApSack,"Jun26,2023",2-Aminoethanol|Aminoethanol|Ethanolamine,Homo sapiens (Urine)|Apium graveolens|Panax ginseng|Arabidopsis thaliana|Brassica oleracea L. ssp. Botrytis|Capsella bursa-pastoris|Vicia faba|Averrhoa carambola|Capsicum annuum|Solanum lycopersicum|FOOD SAKE,Organic nitrogen compounds,Organonitrogen compounds,Amines,"Alkanolamines | 1,2-aminoalcohols","This compound belongs to the class of organic compounds known as 1,2-aminoalcohols. These are organic compounds containing an alkyl chain with an amine group bound to the C1 atom and an alcohol group bound to the C2 atom."
C00050442,Ethanethiol,62.01902092,NA,1975/8/1,,,C2H6S,NA,NA,Xiao Wang,DNJIEGIFACGWOD-UHFFFAOYSA-N,,KNApSack,"Jun26,2023",Ethanethiol,Durio zibethinus|Solanum tuberosum|FOOD SAKE,Organosulfur compounds,Thiols,Alkylthiols,NA,This compound belongs to the class of organic compounds known as alkylthiols. These are organic compounds containing the thiol functional group linked to an alkyl chain.
C00046784,Isoprene,68.06260026,NA,78-79-5,,,C5H8,NA,NA,Xiao Wang,RRHGJUQNOFWUDK-UHFFFAOYSA-N,CC(=C)C=C,KNApSack,"Jun26,2023",Isoprene,Homo sapiens (Exhaled breath)|Bacillus subtilis 6051|Sambucus simponii|Viburnum rufidulum|Mangifera indica|Pistacia lentiscus|Rhus leptodictya|Rhus ovata|Schinus molle|Schinus terebinthifolius|Carissa macrocarpa|Nerium oleander|Ilex cassine|Artemisia californica|Artemisia tridentata|Baccharis texana|Chrysanthemum praecox|Chrysothamnus nauseosus|Dittrichia viscosa|Helianthus annuus|Helichrysum stoechas|Xanthocephalum dracuna|Nandina domestica|Alnus rubra|Jacaranda mimosifolia|Bursera simaruba|Buxus sempervirens|Capparis cynophollophora|Capparis indica|Myrianthus arboreus|Atriplex canescens|Cistus incanus|Cistus salvifolius|Combretum apiculatum|Combretum molle|Laguncularia racemosa|Terminalia prunoides|Terminalia sericea|Terminalia superba|Nyssa spp.|Juniperus phoenicea|Thuja plicate|Pteridium aquilinum|Symphoricarpos occidentalis|Arbutus unedo|Arctostaphylos glauca|Erica arborea|Erica australis|Erica ciliaris|Erica cinerea rose|Erica multiflora|Erica umbellata|Kalmia latifolia|Vaccinium myrtillus|Vaccinium uliginosum|Hevea brasiliensis|Macaranga triloba|Acacia farnesiana|Acacia nigescens|Acacia nigrescens|Acacia tortilis|Afrormosia laxiflora|Albizia ferruginea|Albizia julibrissin|Arachis glabrata|Burkea africana|Colophospermum mopane|Cytisus scoparius|Daniellia oliveri|Detarium microcarpum|Genista scorpius|Glycine max|Leucaena retusa|Medicago sativa|Mucuna pruriens|Mucuna pruriens var. utilis|Pterocarpus luscens|Pterocarpus soyauxii|Pueraria lobata|Robinia pseudoacacia|Spartium junceum|Ulex europaeus|Ulex parviflorus|Castanea dentata|Fagus sylvatica|Quercus agrifolia|Quercus alba|Quercus borealis|Quercus calliprinos|Quercus canariensis|Quercus coccifera|Quercus coccinea|Quercus douglasii|Quercus dumosa|Quercus faginea|Quercus frainetto|Quercus gambelii|Quercus garryana|Quercus ilex|Quercus incana|Quercus ithaburiensis|Quercus laevis|Quercus laurifolia|Quercus libani|Quercus lobata|Quercus macrolepis|Quercus mexicana|Quercus nigra|Quercus petraea|Quercus phellos|Quercus prinus|Quercus pubescens|Quercus pyrenaica|Quercus robur|Quercus rotundifolia|Quercus rubra|Quercus serrata|Quercus suber|Quercus trojana|Quercus velutina|Quercus virginiana|Quercus wislizenii|Ginkgo biloba|Hamamelis virginiana|Liquidambar styraciflua|Irvingia gabonensis|Carya aquatica|Rosmarinus officinalis|Salvia mellifera|Cinnamomum camphora|Persea americana|Persea borbonia|Lagerstroemia indica|Liriodendron tulipifera|Magnolia grandiflora|Gossypium hirsutum|Grewia flavescens|Tilia americana|Ficus carica|Ficus fistulosa|Ficus glumosa|Morus rubra|Trilepisium madagascariense|Callistemon citrinus|Eucalyptus globulus|Eucalyptus viminalis|Eugenia foetida|Eugenia grandis|Eugenia xerophytica|Myrtus communis|Syzygium guineense|Pisonia albida|Lophira alata|Lophira lanceolata|Ochna pulchra|Fraxinus caroliniana|Fraxinus uhdei|Ligustrum lucidum|Olea europaea|Phillyrea angustifolia|Elaeis guineensis|Phoenix dactylifera|Phoenix reclinata|Sabal palmetto|Serenoa repens|Washingtonia filifera|Securinega virosa|Abies alba|Abies lasiocarpa|Cedrus deodara|Larix decidua|Picea abies|Picea engelmannii|Picea glauca|Picea mariana|Picea omorika|Picea pungens|Picea rubens|Picea sitchensis|Pinus canariensis|Pinus clausa|Pinus densiflora|Pinus ellotii|Pinus halepensis|Pinus palustris|Pinus pinaster|Pinus pinea|Pinus ponderosa|Pinus radiata|Pinus sabiniana|Pinus sylvestris|Pinus taeda|Pseudotsuga menziesii|Pseudotsuga menziesii ssp. menziessi|Tsuga mertensiana|Pittosporum tobira|Platanus hybrida|Platanus occidentalis|Platanus racemosa|Agrostis curtissii|Arundo donax|Avena sativa|Oryza sativa|Phragmites mauritianum|Secale cereale|Triticum aestivum|Eriogonum fasciculatum|Polygonum sachalinense|Ceanothus crassifolius|Colubrina texensis|Krugiodendron ferreum|Rhamnus californica|Rhamnus crocea|Rhamnus lycioides|Rhizophora mangle|Adenostoma fasciculatum|Amelanchier alnifolia|Cercocarpus montanus|Cotoneaster pannosus|Malus domestica|Pyrus kawakamii|Rhaphiolepis indica|Rubus fruticosus|Rubus ursinus|Sorbus scopulina|Citrus limon|Populus alba|Populus balsamifera|Populus balsamifera ssp. trichocarpa|Populus deltoides|Populus nigra|Populus tremula|Populus tremuloides|Salix alba|Salix atrocineria|Salix babylonica|Salix caroliniana|Salix nigra|Salix phylicifolia|Xylosma congestum|Acer campestre|Acer floridanum|Acer platanoides|Acer saccharinum|Aesculus flava|Cupania anacardioides|Thelypteris decursive-pinnata|Daphne gnidium|Ulmus americana|Ulmus parvifolia|Aloysia gratissima|Vitis vinifera|Berlinia bracteosa|Berlinia grandifolia|Chamaespartium tridentatum|Cupaniopsis anacardiodides|Dalhousiea africana|Frangula alnus Miller|Gilbertiodendron dewevrei|Isoberlinia doka|Klainedoxa gabonensis|ochna pulchra|Pancovia laurentii|Parinari cunatellifolia|Pictetia aculeata|Reynosa guama|Sclerocarya birrea|Tecomaria capensis,Hydrocarbons,Unsaturated hydrocarbons,Branched unsaturated hydrocarbons,NA,"This compound belongs to the class of organic compounds known as branched unsaturated hydrocarbons. These are hydrocarbons that contains one or more unsaturated carbon atoms, and an aliphatic branch."
C00050435,Crotonaldehyde,70.04186481,NA,4170-30-3,,,C4H6O,NA,NA,Xiao Wang,MLUCVPSAIODCQM-NSCUHMNNSA-N,,KNApSack,"Jun26,2023",Crotonaldehyde,Apium graveolens|Nicotiana tabacum|Solanum lycopersicum|Caffea sp.|FOOD SAKE,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,"Alpha,beta-unsaturated carbonyl compounds | Alpha,beta-unsaturated aldehydes | Enals","This compound belongs to the class of organic compounds known as enals. These are an alpha,beta-unsaturated aldehyde of general formula RC=C-CH=O in which the aldehydic C=O function is conjugated to a C=C triple bond at the alpha,beta position."
C00050431,Butanal,72.05751488,NA,123-72-8,,,C4H8O,NA,NA,Xiao Wang,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,,KNApSack,"Jun26,2023",Butanal|Butyraldehyde,Carica papaya|Triticum aestivum|Coffea arabica|Solanum lycopersicum|Zingiber officinale|FOOD SAKE,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes | Alpha-hydrogen aldehydes,"This compound belongs to the class of organic compounds known as alpha-hydrogen aldehydes. These are aldehydes with the general formula HC(H)(R)C(=O)H, where R is an organyl group."
C00051564,Methyl isothiocyanate,72.99861983,NA,556-61-6,,,C2H3NS,NA,NA,Xiao Wang,LGDSHSYDSCRFAB-UHFFFAOYSA-N,,KNApSack,"Jun26,2023",Methyl isothiocyanate,Brassica juncea,Organosulfur compounds,Isothiocyanates,NA,NA,"This compound belongs to the class of organic compounds known as isothiocyanates. These are organic compounds containing the isothiocyanate group, an isocyanate analogue with the general formula RN=C=S."
C00001186,Glyoxalic acid,74.00039393,NA,298-12-4,,,C2H2O3,NA,NA,Xiao Wang,HHLFWLYXYJOTON-UHFFFAOYSA-N,C(=O)C(=O)O,KNApSack,"Jun26,2023",Glyoxalic acid|Glyoxylic acid,Homo sapiens (Urine)|Escherichia coli|Pseudomonas putida|Aspergillus niger|Arabidopsis thaliana|Ricinus communis|Arachis hypogaea|Cicer arietinum|Delonix regia|Phaseolus vulgaris|Oryza sativa|FOOD SAKE,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,NA,This compound belongs to the class of organic compounds known as carboxylic acids. These are compounds containing a carboxylic acid group with the formula -C(=O)OH.
C00048479,Methyl acetate,74.03677944,NA,79-20-9,,,C3H6O2,NA,NA,Xiao Wang,KXKVLQRXCPHEJC-UHFFFAOYSA-N,CC(=O)OC,KNApSack,"Jun26,2023",Methyl acetate,Mentha arvensis L.|Coffea canephora|Citrus aurantifolia|Citrus hystrix|Solanum lycopersicum|Zingiber officinale,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carboxylic acid esters | Methyl esters,"This compound belongs to the class of organic compounds known as methyl esters. These are organic compounds containing a carboxyl group that is esterified with a methyl group. They have the general structure RC(=O)OR', where R=H or organyl group and R'=methyl group."
C00035814,1-Butanol,74.07316494,NA,71-36-3,,,C4H10O,NA,NA,Xiao Wang,LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,KNApSack,"Jun26,2023",1-Butanol|n-Butanol|Butanol,Escherichia coli|Mangifera indica|Annona muricata|Garcinia dulcis|Medicago sativa|Ribes nigrum|Sida galheirensis|Coffea arabica|Solanum lycopersicum Mill.|Thea sinensis|Caffea sp.,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,"This compound belongs to the class of organic compounds known as primary alcohols. These are compounds comprising the primary alcohol functional group, with the general structure RCOH (R=alkyl, aryl)."
C00001361,Glycine,75.03202841,NA,56-40-6,,,C2H5NO2,NA,NA,Xiao Wang,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C(=O)(O)CN,KNApSack,"Jun26,2023",Glycine|L-Gly|Gly,Homo sapiens (Serum)|Homo sapiens (Urine)|Escherichia coli|Mangifera indica|Spondias mangifera|Apium graveolens|Helianthus annuus|Beta vulgaris|Spinacia oleracea|Arabidopsis thaliana|Brassica oleracea|Capsella bursa-pastoris|Caesalpinia sappan L.|Phaseolus vulgaris|Vicia faba|Vigna unguiculata|Orthosiphon stamineus|Punica granatum|Mirabilis jalpa|Antirrhinum majus|Plumbago zeylanica|Oryza sativa|Triticum aestivum|Prunus avium|Capsicum annuum|Solanum lycopersicum L.|Caffea sp.|FOOD SAKE,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives | Alpha amino acids and derivatives | Alpha amino acids,This compound belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).
C00052622,2-Aminopropanol,75.06841392,NA,6168-72-5,,,C3H9NO,NA,NA,Xiao Wang,BKMMTJMQCTUHRP-UHFFFAOYSA-N,CC(N)CO,KNApSack,"Jun26,2023",2-Aminopropanol,Citrus sinensis|Murraya paniculata|Bergera koenegii,Organic nitrogen compounds,Organonitrogen compounds,Amines,"Alkanolamines | 1,2-aminoalcohols","This compound belongs to the class of organic compounds known as 1,2-aminoalcohols. These are organic compounds containing an alkyl chain with an amine group bound to the C1 atom and an alcohol group bound to the C2 atom."
C00007461,Glycolic acid,76.01604399,NA,79-14-1,,,C2H4O3,NA,NA,Xiao Wang,AEMRFAOFKBGASW-UHFFFAOYSA-N,OCC(=O)O,KNApSack,"Jun26,2023",Glycolic acid,Homo sapiens (Urine)|Panax ginseng|Helianthus annuus|Spinacia oleracea|Arabidopsis thaliana|Brassica oleracea L. ssp. Botrytis|Oryza sativa|Saccharum officinarum|Solanum lycopersicum|FOOD SAKE,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,NA,This compound belongs to the class of organic compounds known as alpha hydroxy acids and derivatives. These are organic compounds containing a carboxylic acid substituted with a hydroxyl group on the adjacent carbon.
C00053334,Hydroxyurea,76.02727739,NA,127-07-1,,,CH4N2O2,NA,NA,Xiao Wang,VSNHCAURESNICA-UHFFFAOYSA-N,ONC(N)=O,KNApSack,"Jun26,2023",Hydroxyurea,Triticum aestivum,Organic acids and derivatives,Carboximidic acids and derivatives,NA,NA,"This compound belongs to the class of organic compounds known as carboximidic acids and derivatives. These are compounds containing a carboximidic group, with the general formula R-C(=NR1)OR2."
C00001268,Propane-2-thiol,76.03467099,NA,75-33-2,,,C3H8S,NA,NA,Xiao Wang,KJRCEJOSASVSRA-UHFFFAOYSA-N,CC(C)S,KNApSack,"Jun26,2023",Propane-2-thiol,Allium cepa|Solanum tuberosa|Solanum tuberosum,Organosulfur compounds,Thiols,Alkylthiols,NA,This compound belongs to the class of organic compounds known as alkylthiols. These are organic compounds containing the thiol functional group linked to an alkyl chain.
C00048276,2-Methylfuran,82.04186481,NA,534-22-5,,,C5H6O,NA,NA,Xiao Wang,VQKFNUFAXTZWDK-UHFFFAOYSA-N,c1ccc(o1)C,KNApSack,"Jun26,2023",2-Methylfuran,Fusarium poae|Prunus avium|Citrus aurantifolia|Citrus hystrix|Citrus limon|Citrus sinensis|Solanum lycopersicum|Caffea sp.,Organoheterocyclic compounds,Heteroaromatic compounds,NA,NA,This compound belongs to the class of organic compounds known as heteroaromatic compounds. These are compounds containing an aromatic ring where a carbon atom is linked to an hetero atom.
C00054024,1-Cyanobutane,83.07349929,NA,110-59-8,,,C5H9N,NA,NA,Xiao Wang,RFFFKMOABOFIDF-UHFFFAOYSA-N,CCCCC#N,KNApSack,"Jun26,2023",1-Cyanobutane,Brassica spp.,Organic nitrogen compounds,Organonitrogen compounds,Organic cyanides,NA,"This compound belongs to the class of organic compounds known as nitriles. These are compounds having the structure RC#N; thus C-substituted derivatives of hydrocyanic acid, HC#N."
C00035785,1-Penten-3-one,84.05751488,NA,1629-58-9,,,C5H8O,NA,NA,Xiao Wang,JLIDVCMBCGBIEY-UHFFFAOYSA-N,CCC(=O)C=C,KNApSack,"Jun26,2023",1-Penten-3-one|pent-1-en-3-one,Mangifera indica|Carica papaya|Medicago sativa|Perilla frutescens|Prunus avium|Nicotiana tabacum|Solanum lycopersicum Mill.|Caffea sp.,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,"Alpha,beta-unsaturated carbonyl compounds | Alpha,beta-unsaturated ketones | Enones","This compound belongs to the class of organic compounds known as enones. These are compounds containing the enone functional group, with the structure RC(=O)CR'."
C00007453,beta-Elemene,84.09390038,NA,33880-83-0,,,C6H12,NA,NA,Xiao Wang,OPFTUNCRGUEPRZ-QRSVUVFUNA-N,[C@@H]1(C[C@H]([C@@](CC1)(C=C)C)C(=C)C)C(=C)C,KNApSack,"Jun26,2023",beta-Elemene|Cyclohexane,Homo sapiens (Exhaled breath)|Acorus calamus|Acorus calanus L.|Mangifera indica|Guatteriopsis blepharophylla|Monodora myristica|Xylopia aethiopica|Xylopia frutescens|Xylopia parviflora|Xylopia rubescens|Apium graveolens|Cuminum cyminum L.|Petroselinum crispum|Peucedanum paniculatum L.|Aristolochia trilobata|Artemisia annua L.cultivar Jwarharti|Centaurea atropurpurea|Chamomilla rectita|Chrysanthemum spp.|Cyathocline purpurea|Helianthus annuus|Matricaria recutita|Petasites albus|Petasites hybridus|Phagnalon sordidum|Rhaponticum carthamoides|Solidago canadensis|Canella winterana|Cistus albidus|Cistus creticus|Cornus officinalis|Arabidopsis thaliana|Cyperus rotundus L.|Doona spp.|Marsupella aquatica|Frullania aterrima var. lepida|Frullania congesta|Frullania falciloba|Frullania fragilifolia|Frullania fugax|Frullania incumbens|Frullania lobulata|Frullania media|Frullania monocera|Frullania ptychantha|Mentha spp.|Ocimum americanum|Ocimum basilicum|Ocimum gratissimum|Ocimum kilimandscharicim|Ocimum tenuiflorum|Perilla frutescens|Satureja subspicata|Cinnamomum camphora|Cinnamomum illicioides|Laurus nobilis|Litsea cubeba|Lepidozia fauriana|Lepidozia vitrea|Azadirachta indica|Acca sellowiana|Leptospermum scoparium|Pinus halepensis|Pinus mugo subsp. Mugo|Pinus sylvestris|Piper arboreum|Piper fimbriulatum|Piper nigrum|Piper obliquum|Polygonum minus|Primula halleri|Atalantia guillauminii|Citrus aurantifolia|Citrus aurantium|Citrus deliciosa|Citrus hystrix|Citrus limon|Citrus paradise x Poncirus trifoliata|Citrus paradisi|Citrus reticulata|Citrus reticulate x Citrus sinensis|Citrus sinensis|Citrus sinki x Poncirus trifoliata|Citrus unshiu Marc.|Fortunella margarita|Murraya exotica|Murraya paniculata|Poncirus trifoliata|Poncirus trifoliate x Citrus sinensis|Houttuynia cordata|Tritomaria quinquedentata (Huds.)|Solanum lycopersicum|Solanum tuberosum|Valeriana officinalis|Curcuma aeruginosa|Curcuma amada|Curcuma amanda Roxb|Curcuma aromatica|Curcuma kwangsiensis|Curcuma longa|Curcuma mangga|Curcuma phaeocaulis|Curcuma wenyujin|Zingiber cassumunar Roxb.|Zingiber officinale|Alphinia galanga|Caffea sp.|Libanotis intermedia,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,"This compound belongs to the class of organic compounds known as elemane sesquiterpenoids. These are sesquiterpenoids with a structure based on the elemane skeleton. Elemane is a monocyclic compound consisting of a cyclohexane ring substituted with a methyl group, an ethyl group, and two 1-methylethyl groups at the 1-, 1-, 2-, and 4-position, respectively."
C00038233,2-Pyrrolidone,85.05276385,NA,616-45-5,,,C4H7NO,NA,NA,Xiao Wang,HNJBEVLQSNELDL-UHFFFAOYSA-N,C1CCC(=O)N1,KNApSack,"Jun26,2023",2-Pyrrolidone|2-Pyrrolidinone,Phoma medicaginis|Microtropis japonica|Averrhoa carambola|Solanum lycopersicum|Caffea sp.,Organoheterocyclic compounds,Pyrrolidines,Pyrrolidones,NA,This compound belongs to the class of organic compounds known as pyrrolidine-2-ones. These are pyrrolidines which bear a C=O group at position 2 of the pyrrolidine ring.
C00028706,N-Methylpyrrolidine,85.08914936,NA,120-94-5,,,C5H11N,NA,NA,Xiao Wang,AVFZOVWCLRSYKC-UHFFFAOYSA-N,C1CCCN1C,KNApSack,"Jun26,2023",N-Methylpyrrolidine,Arisarum vulgare Targ.|Solanum lycopersicum,Organoheterocyclic compounds,Pyrrolidines,N-alkylpyrrolidines,NA,This compound belongs to the class of organic compounds known as n-alkylpyrrolidines. These are compounds containing a pyrrolidine moiety that is substituted at the N1-position with an alkyl group. Pyrrolidine is a five-membered saturated aliphatic heterocycle with one nitrogen atom and four carbon atoms.
C00050437,"2,3-Butanedione",86.03677944,NA,431-03-8,,,C4H6O2,NA,NA,Xiao Wang,QSJXEFYPDANLFS-UHFFFAOYSA-N,,KNApSack,"Jun26,2023","2,3-Butanedione|Diacetyl",Homo sapiens (Skin microbiota)|Mangifera indica|Asparagus officinalis|Carica papaya|Garcinia dulcis|Capsella bursa-pastoris|Coffea arabica|Coffea canephora|Solanum lycopersicum|Caffea sp.|Campylobacter jejuni|Clostridium difficile|FOOD SAKE,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones | Alpha-diketones,This compound belongs to the class of organic compounds known as alpha-diketones. These are organic compounds containing two ketone groups on two adjacent carbon atoms.
C00053660,1-Penten-3-ol,86.07316494,NA,616-25-1,,,C5H10O,NA,NA,Xiao Wang,VHVMXWZXFBOANQ-UHFFFAOYSA-N,C=CC(O)CC,KNApSack,"Jun26,2023",1-Penten-3-ol|pent-1-en-3-ol|Ethylvinylcarbinol,Mangifera indica|Carica papaya|Capsella bursa-pastoris|Glycine max|Medicago sativa|Perilla frutescens|Prunus avium|Solanum lycopersicum|Thea sinensis,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,"This compound belongs to the class of organic compounds known as secondary alcohols. These are compounds containing a secondary alcohol functional group, with the general structure HOC(R)(R') (R,R'=alkyl, aryl)."
C00049006,n-Hexane,86.10955045,NA,110-54-3,,,C6H14,NA,NA,Xiao Wang,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,KNApSack,"Jun26,2023",n-Hexane,Boletus edulis|Lentinus edodes|Carica papaya|Olea europaea|Rumex thyrsiflorus|Citrus aurantifolia|Caffea sp.,Hydrocarbons,Saturated hydrocarbons,Alkanes,NA,"This compound belongs to the class of organic compounds known as alkanes. These are acyclic branched or unbranched hydrocarbons having the general formula CnH2n+2 , and therefore consisting entirely of hydrogen atoms and saturated carbon atoms."
