Compounds	Chemical Formula	InChI-Key	Pathways of compound	SMILES	Object ID	Synonyms	Molecular-Weight
(-)-deoxypodophyllotoxin	C22H22O7	InChIKey=ZGLXUQQMLLIKAN-SVIJTADQSA-N		COC1(/C=C(/C=C(C(\OC)=1)/OC)[C@H]2([C@H]5(C(=O)OC[C@H](CC3(\C\2=C/C4(/OCOC(/C=3)=4)))5)))	CPD-8958	(10R,11R,15R)-10-(3,4,5-trimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.03,7,011,15]hexadeca-1(9),2,7-trien-12-one	398.412
(-)-<i>ent</i>-copalyl diphosphate	C20H33O7P2	InChIKey=JCAIWDXKLCEQEO-PGHZQYBFSA-K	<i>ent</i>-kaurene biosynthesis I // superpathway of gibberellin GA<sub>12</sub> biosynthesis // superpathway of gibberellin biosynthesis	CC(/CC[C@H]1([C@@]2(CCCC(C)(C)[C@@H](CCC1=C)2)C))=C\COP([O-])(=O)OP([O-])([O-])=O	ENT-COPALYL-DIPHOSPHATE	ent-copalyl diphosphate // ent-CPP // ent-CDP // (-)-CPP // (-)-CDP // (-)-copalyl diphosphate	447.424
(-)-epiafzelechin	C15H14O5	InChIKey=RSYUFYQTACJFML-UKRRQHHQSA-N	proanthocyanidins biosynthesis from flavanols // 2,3-<i>cis</i>-flavanols biosynthesis	C3(/C=C(\C=C/C(/[C@@H]1([C@H](O)CC2(/C(/O1)=C\C(\O)=C/C(/O)=2)))=3)/O)	CPD-10413	2,3-cis-epiafzelechin // (-)-epiafzelechin	274.273
(-)-epicatechin	C15H14O6	InChIKey=PFTAWBLQPZVEMU-UKRRQHHQSA-N	proanthocyanidins biosynthesis from flavanols // 2,3-<i>cis</i>-flavanols biosynthesis	C3(/C=C(C(/O)=C\C(\[C@H]1(OC2(\C(/C[C@H]1O)=C(/C=C(/C=2)/O)\O)))=3)/O)	CPD-7630	epicatechin // 2,3-cis-epicatechin	290.272
(-)-epigallocatechin	C15H14O7	InChIKey=XMOCLSLCDHWDHP-IUODEOHRSA-N	proanthocyanidins biosynthesis from flavanols // 2,3-<i>cis</i>-flavanols biosynthesis	C3(/C(/O)=C(C(/O)=C\C(\[C@H]1(OC2(\C(/C[C@@H](O)1)=C(/C=C(/C=2)/O)\O)))=3)/O)	CPD-10411	2,3-cis-epigallocatechin	306.271
(-)-glycinol	C15H12O5	InChIKey=QMXOFBXZEKTJIK-LSDHHAIUSA-N		C3(\C(\O)=C/C4(/OC[C@]1(O)([C@@H](OC2(\C1=C/C=C(/C=2)/O))C(/C=3)=4)))	6AS11AS-36A9-TRIHYDROXYPTEROCARPAN	3,6,9-trihydroxypterocarpan // (6alphaS,11alphaS)-3,6alpha,9-trihydroxypterocarpan	272.257
(-)-isopiperitenone	C10H14O	InChIKey=SEZLYIWMVRUIKT-SECBINFHSA-N		C=C([C@H]1(CCC(/C)=C/C1=O))C	CPD-1090		150.22
(-)-jasmonate	C12H17O3	InChIKey=ZNJFBWYDHIGLCU-HWKXXFMVSA-M	jasmonic acid biosynthesis // jasmonoyl-amino acid conjugates biosynthesis II // jasmonoyl-amino acid conjugates biosynthesis I // superpathway of jasmonoyl-amino acid conjugates biosynthesis // hydroxyjasmonate sulfate biosynthesis	CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC([O-])=O)	CPD-734	(-)-jasmonic acid // jasmonic acid // (3R,7R)-(-)-jasmonate // {(1R,2R)-3-oxo-2-[(2Z)-pent-2-en-1-yl]cyclopentyl}acetate	209.264
(-)-jasmonoyl-L-isoleucine	C18H28NO4	InChIKey=IBZYPBGPOGJMBF-QRHMYKSGSA-M	jasmonoyl-amino acid conjugates biosynthesis II // jasmonoyl-amino acid conjugates biosynthesis I // superpathway of jasmonoyl-amino acid conjugates biosynthesis	CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC(N[C@@H]([C@@H](C)CC)C([O-])=O)=O)	CPD-11232	(-)-JA-L-Ile // (-)-jasmonate-L-isoleucine // (-)-jasmonic acid L-isoleucine // (-)-jasmonic acid L-isoleucine conjugate // (-)-jasmonyl-L-isoleucine // N-[(3R,7R)-(-)-Jasmonoyl]-(S)-isoleucine	322.423
(-)-lariciresinol	C20H24O6	InChIKey=MHXCIKYXNYCMHY-SXGZJXTBSA-N	matairesinol biosynthesis	COC3(\C(\O)=C/C=C(C[C@H]2([C@@H](CO)[C@H](C1(\C=C/C(/O)=C(/C=1)/OC))OC2))\C=3)	CPD-8908		360.406
(-)-matairesinol	C20H22O6	InChIKey=MATGKVZWFZHCLI-LSDHHAIUSA-N	matairesinol biosynthesis	COC3(\C(\O)=C/C=C(C[C@@H]2([C@@H](CC1(\C=C(C(/O)=C\C=1)\OC))C(=O)OC2))\C=3)	CPD-8912	(3R,4R)-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one // 3R,4R)-3,4-bis[(4-hydroxy-3-methoxyphenyl)methyl]oxolan-2-one	358.39
(-)-menthol	C10H20O	InChIKey=NOOLISFMXDJSKH-KXUCPTDWSA-N	phosphate acquisition // glycerophosphodiester degradation	CC([C@@H]1(CC[C@H](C[C@H]1O)C))C	--MENTHOL		156.267
(-)-menthone	C10H18O	InChIKey=NFLGAXVYCFJBMK-BDAKNGLRSA-N		CC([C@@H]1(CC[C@H](CC1=O)C))C	CPD-1909	l-menthone // p-menthan-3-one // (-)-(1R,4S)-menthone	154.252
(-)-methyl jasmonate	C13H20O3	InChIKey=GEWDNTWNSAZUDX-WQMVXFAESA-N		CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC(OC)=O)	CPD1F-2	methyl jasmonic acid // (-)-jasmonic acid methyl ester // jasmonic acid methyl ester // methyl jasmonate	224.299
(-)-pinoresinol	C20H22O6	InChIKey=HGXBRUKMWQGOIE-NSMLZSOPSA-N	matairesinol biosynthesis	COC1(\C(\O)=C/C=C(/C=1)/[C@@H]4(OC[C@H]3([C@H](C2(\C=C/C(/O)=C(/C=2)/OC))OC[C@H]34)))	CPD-8906		358.39
(-)-sabinene	C10H16	InChIKey=NDVASEGYNIMXJL-UWVGGRQHSA-N	monoterpene biosynthesis	CC(C)[C@]12([C@@H](C1)C(CC2)=C)	CPD-14012	(1S)-sabinene // (-)-(1S)-sabinene // (1S,5S)-sabinene	136.236
(-)-secoisolariciresinol	C20H26O6	InChIKey=PUETUDUXMCLALY-HOTGVXAUSA-N	matairesinol biosynthesis	COC2(\C(\O)=C/C=C(C[C@H]([C@@H](CC1(\C=C/C(/O)=C(\C=1)/OC))CO)CO)\C=2)	CPD-8909	8R,8'R-secoisolariciresinol // RR-secoisolariciresinol	362.422
(-)-trans-isopiperitenol	C10H16O	InChIKey=OLAKPNFIICOONC-ZJUUUORDSA-N	phosphate acquisition // glycerophosphodiester degradation	C=C(C)[C@H]1(CCC(/C)=C/[C@H](O)1)	CPD-263		152.236
(-)-yatein	C22H24O7	InChIKey=GMLDZDDTZKXJLU-JKSUJKDBSA-N		COC4(/C=C(C[C@@H]3([C@@H](CC1(\C=C/C2(/OCOC(/C=1)=2)))COC3=O))\C=C(C(\OC)=4)\OC)	CPD-17595	deoxypodorhizone // dihydroanhydropodorhizol // (3R,4R)-4-(2H-1,3-benzodioxol-5-ylmethyl)-3-[(3,4,5-trimethoxyphenyl)methyl]oxolan-2-one	400.427
(-)5,10-methylene-5,6,7,8-tetrahydrofolate					CPD0-2616	(-)CH2H4folate	
(11Z)-3-oxoicosa-11-enoyl-CoA	C41H66N7O18P3S	InChIKey=ASKKPQKSCFYPPP-FVLDFCIYSA-J		CCCCCCCC\C=C/CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]	CPD-14300	(11Z)-3-oxoeicosa-11-enoyl-CoA // (11Z)-3-oxoeicosenoyl-CoA	1069.99
(12Z,15Z)-9,10-dihydroxyoctadeca-12,15-dienoate	C18H31O4	InChIKey=QRHSEDZBZMZPOA-ZJSQCTGTSA-M	poly-hydroxy fatty acids biosynthesis // acyl-CoA hydrolysis // acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // phospholipases // triacylglycerol degradation // alkane oxidation // fatty acid &alpha;-oxidation I // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // phosphatidylcholine acyl editing // long-chain fatty acid activation	CC\C=C/C\C=C/CC(O)C(O)CCCCCCCC(=O)[O-]	CPD-13094	(12Z,15Z)-9,10-dihydroxyoctadeca-12,15-dienoic acid	311.44
(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate	C18H29O3	InChIKey=JTEGNNHWOIJBJZ-ZJSQCTGTSA-M	acyl-CoA hydrolysis // acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // phospholipases // triacylglycerol degradation // alkane oxidation // fatty acid &alpha;-oxidation I // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // phosphatidylcholine acyl editing // long-chain fatty acid activation // poly-hydroxy fatty acids biosynthesis	CC\C=C/C\C=C/CC1(OC1CCCCCCCC(=O)[O-])	CPD-13089	(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoic acid // (12Z,15Z)-9,10-epoxyoctadecadienoate	293.425
(13<i>S</i>)-HPODE	C18H31O4	InChIKey=JDSRHVWSAMTSSN-IRQZEAMPSA-M	acyl-CoA hydrolysis // acyl-[acyl-carrier protein] thioesterase pathway // ceramide degradation // phospholipases // triacylglycerol degradation // alkane oxidation // fatty acid &alpha;-oxidation I // fatty acid &beta;-oxidation II (peroxisome) // superpathway of glyoxylate cycle and fatty acid degradation // phosphatidylcholine acyl editing // long-chain fatty acid activation // divinyl ether biosynthesis II // traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis // superpathway of lipoxygenase	CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)[O-])OO	13-HYDROPEROXYOCTADECA-911-DIENOATE	(9Z,11E)-(13S)-13-hydroperoxyoctadeca-9,11-dienoate // 13(S)-hydroperoxy-9(Z),11(E)-octadecadienoate // 13-HPOD	311.44
(1E,2S)-2-methylbutanal oxime	C5H11NO	InChIKey=SEWWFHKIKWFJNV-WHEKYOLUSA-N		CC[C@H](C)/C=N/O	CPD-10273		101.148
(1<i>E</i>,2<i>Z</i>)-3-hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1 (10),2-dien-4-oate	C19H23O6	InChIKey=HRJXKKSJPNWKCP-VHYMCRENSA-M		CC(/C(=O)CCC1(C(=O)CC[C@]2(C)(C(=O)CC[C@@H]12)))=C\C=C(C(=O)[O-])/O	3-HYDROXY-5917-TRIOXO-45910-DISECOA	8-[(3a-methyl-3,6-dioxo-2,3a,4,5,7,7a-hexahydro-1H-inden-7-yl)]- 2-hydroxy-5-methyl-6-oxo-octa-2,4-dienoic acid // 4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate // 4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oic acid // 4,9-DSHA	347.387
(1<i>R</i>,2<i>R</i>)-1,2-diphenylethane-1,2-diol	C14H14O2	InChIKey=IHPDTPWNFBQHEB-ZIAGYGMSSA-N		C2(\C=C/C(/[C@H]([C@@H](C1(\C=C/C=C\C=1))O)O)=C\C=2)	CPD-8985	(R,R)-hydrobenzoin	214.263
(1<i>R</i>,2<i>S</i>)-homoisocitrate	C7H7O7	InChIKey=OEJZZCGRGVFWHK-WVZVXSGGSA-K		C(CC(=O)[O-])[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]	HOMO-I-CIT	(-)-threo-isohomocitrate // (-)-1-hydroxy-1,2,4-butanetricarboxylate // homo-I-cit // 1-hydroxy-1,2,4-butanetricarboxylate // 2-hydroxy-3-carboxyadipate // homo-iso-citrate // 1-(R)-hydroxy-2-(S)-1,2,4-butanetricarboxylic acid // 1-hydroxybutane-1,2,4-tricarboxylate // (1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate // homoisocitrate	203.128
(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	C11H10O6	InChIKey=QJYRAJSESKVEAE-PSASIEDQSA-L	2-carboxy-1,4-naphthoquinol biosynthesis // superpathway of phylloquinol biosynthesis // 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	C1(\C=C([C@H]([C@H](O)\C=1)C(=O)[O-])\C(=O)CCC(=O)[O-])	CPD-9923	SHCHC // (1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate // 2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID	238.196
(1<i>R</i>,6<i>S</i>)-6-amino-5-oxocyclohex-2-ene-1-carboxylate	C7H9NO3	InChIKey=AQGCSVBPRRQXIN-XINAWCOVSA-N		C([C@@H]1(\C=C/CC([C@H]1[NH3+])=O))(=O)[O-]	CPD-9521		155.153
(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate	C11H12NO6P	InChIKey=NQEQTYPJSIEPHW-MNOVXSKESA-L	L-tryptophan biosynthesis // superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2))	INDOLE-3-GLYCEROL-P	C1-(3-Indolyl)-glycerol 3-phosphate // indole-3-glycerol-P // 1-(indol-3-yl)glycerol-3-P // 1-(indol-3-yl)glycerol-3-phosphate // indoleglycerol phosphate // indole-3-glycerol-phosphate	285.193
(1Z,2S)-2-methylbutanal oxime	C5H11NO	InChIKey=SEWWFHKIKWFJNV-YIWIKUPCSA-N		CC[C@H](C)\C=N/O	CPD-10274		101.148
(2-oxindol-3-yl)acetyl-L-aspartate	C14H12N2O6	InChIKey=SDOOMIWSQMGJCL-HTLJXXAVSA-L	indole-3-acetate inactivation IV	C(CC1(C(=O)NC2(\C\1=C/C=C\C=2)))(N[C@H](C(=O)[O-])CC([O-])=O)=O	2-OXINDOLE-3-ACETYL-ASP	2-oxindole-3-acetyl-aspartic acid // 2-oxindole-3-acetyl-asp	304.259
