"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"1H-2-benzopyran-1-one, 6,8-dihydroxy-3-methyl-","NA","NA","NA","NA","NA","0"
"2-(3-hydroxy-5-methoxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6,8-dimethoxychromen-4-one","NA","NA","NA","NA","NA","0"
"2-[1-hydroxy-1-(4-methoxyphenyl)propan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"2-[2-[(Z)-pent-2-enyl]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycyclopentyl]acetic acid","NA","NA","NA","NA","NA","0"
"2-[4-[4-[hydroxy-(4-hydroxy-3-methoxyphenyl)methyl]-3-(hydroxymethyl)oxolan-2-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","NA","NA","NA","NA","NA","0"
"3-[4-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]propanoic acid","NA","NA","NA","NA","NA","0"
"3-[5,7-dihydroxy-2-(4-methoxyphenyl)-4-oxo-2,3-dihydrochromen-3-yl]-5,7-dihydroxy-2-(4-methoxyphenyl)-2,3-dihydrochromen-4-one","NA","NA","NA","NA","NA","0"
"3-Hydroxycinnamic acid","m-Coumaric acid","HMDB0001713","637541","C12621","C1=CC(=CC(=C1)O)/C=C/C(=O)O","1"
"3-methylquercetin","Isorhamnetin","HMDB0002655","5281654","C10084","COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","1"
"3-O-Feruloylquinic acid","3-O-Feruloylquinic acid","HMDB0030669","131751068","C02572","COC1=C(O)C=C(\C=C/C(=O)OC2CC(O)(CC(O)C2O)C(O)=O)C=C1","1"
"4-[2-(6,7-dihydroxy-1,2,4a-trimethylspiro[3,4,6,7,8,8a-hexahydro-2H-naphthalene-5,2-oxirane]-1-yl)ethyl]-2-hydroxy-2H-furan-5-one","NA","NA","NA","NA","NA","0"
"4-O-Methylphloracetophenone","Phloretin","HMDB0003306","4788","C00774","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O","1"
"4,5,7-trihydroxy-3,6-dimethoxyflavone","NA","NA","NA","NA","NA","0"
"6-Methoxy-7-hydroxycoumarin","Scopoletin","HMDB0034344","5280460","C01752","COC1=C(C=C2C(=C1)C=CC(=O)O2)O","1"
"7-ethenyl-1,4a,7-trimethyl-6-oxo-2,3,4,8,8a,9,10,10a-octahydrophenanthrene-1-carboxylic acid","NA","NA","NA","NA","NA","0"
"7-hydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one","NA","NA","NA","NA","NA","0"
"7,8-Dihydroxycoumarin","NA","NA","NA","NA","NA","0"
"8-[3-oxo-2-[(E)-pent-2-enyl]cyclopenten-1-yl]octanoic acid","NA","NA","NA","NA","NA","0"
"9-hydroxy-10,12-octadecadienoic acid","Alpha-dimorphecolic acid","HMDB0004670","5312830","C14767","CCCCC/C=C\C=C\[C@H](CCCCCCCC(=O)O)O","1"
"afzelechin","Afzelechin","HMDB0030823","282014","C09320","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O","1"
"Anhydrobrazilic Acid","NA","NA","NA","NA","NA","0"
"astilbin","Astilbin","HMDB0033850","119258","C17449","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O","1"
"Biochanin A","Biochanin A","HMDB0002338","5280373","C00814","COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O","1"
"Brazilein","NA","NA","NA","NA","NA","0"
"Cholic Acid","Cholic acid","HMDB0000619","221493","C00695","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C","1"
"Chrysin","Chrysin","HMDB0036619","5281607","C10028","OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1","1"
"D-(-)-quinic acid","NA","NA","NA","NA","NA","0"
"Daidzein-8-C-glucoside","NA","NA","NA","NA","NA","0"
"Deoxycholic Acid","Deoxycholic acid","HMDB0000626","222528","C04483","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"Dihydrokaempferol","Aromadendrin","HMDB0030847","662","C00974","C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","1"
"DIMETHYLCAFFEIC ACID","3-(3,4-Dimethoxyphenyl)-2-propenoic acid","HMDB0034315","717531",NA,"COC1=C(C=C(C=C1)/C=C/C(=O)O)OC","1"
"Emodin","Emodin","HMDB0035214","3220","C10343","CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O","1"
"Emodin-8-Beta-D-Glucoside","NA","NA","NA","NA","NA","0"
"epicatechin gallate","3-Galloylcatechin","HMDB0030661","367141",NA,"C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O","1"
"Fallacinol","NA","NA","NA","NA","NA","0"
"Gedunol","NA","NA","NA","NA","NA","0"
"ginnalin A","NA","NA","NA","NA","NA","0"
"Hydrocotarnine","Hydrocotarnine","HMDB0033701","3646","C13534","CN1CCC2=CC3=C(C(=C2C1)OC)OCO3","1"
"isokaempferide","Isokaempferide",NA,"5280862","C05902","COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O","1"
"isoliquiritigenin","Isoliquiritigenin","HMDB0037316","638278","C08650","OC1=CC=C(\C=C\C(=O)C2=C(O)C=C(O)C=C2)C=C1","1"
"Isopeonol","NA","NA","NA","NA","NA","0"
"Isopimpinellin","Isopimpinellin","HMDB0034312","68079","C02162","COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC","1"
"isorhamnetin","Isorhamnetin","HMDB0002655","5281654","C10084","COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","1"
"Isorhamnetin 3-galactoside","NA","NA","NA","NA","NA","0"
"isorhapontin","Isorhapontin",NA,"5281716","C10266","COc1cc(/C=C/c2cc(O)cc(O3O(CO)(O)(O)3O)c2)ccc1O","1"
"Isovitexin(4)","NA","NA","NA","NA","NA","0"
"jaceidin","Jaceidin","HMDB0033819","5464461",NA,"COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)O)OC)O)OC)O","1"
"Kaempferol","Kaempferol","HMDB0005801","5280863","C05903","C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O","1"
"Kaempferol-3-O-arabinoside","NA","NA","NA","NA","NA","0"
"Kaempferol-3-O-rhamnoside","NA","NA","NA","NA","NA","0"
"Kaempferol-7-O-neohesperidoside","NA","NA","NA","NA","NA","0"
"Liquiritin","Liquiritin","HMDB0029520","503737","C16989","C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O","1"
"Luteolin-8-C-glucoside","NA","NA","NA","NA","NA","0"
"Luteolinidin","Luteolinidin","HMDB0029249","441701","C08652","C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2)O)O)O)O","1"
"maesopsin","NA","NA","NA","NA","NA","0"
"Matairesinol","Matairesinol","HMDB0035789","345761",NA,"COC1=C(C=CC(=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)O","1"
"methyl chlorogenate","NA","NA","NA","NA","NA","0"
"N-Acetylmuramic Acid","N-Acetylmuramic acid","HMDB0060493","5462244","C02713","[H][C@](C)(O[C@@]1([H])[C@]([H])(O)[C@@]([H])(CO)OC([H])(O)[C@]1([H])N=C(C)O)C(O)=O","1"
"Naringenin","Naringenin","HMDB0002670","439246","C00509","C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","1"
"NP-000004(11)","NA","NA","NA","NA","NA","0"
"NP-006989(12)","NA","NA","NA","NA","NA","0"
"Paeonol","NA","NA","NA","NA","NA","0"
"Phlorhizin","NA","NA","NA","NA","NA","0"
"Procyanidin B1","Procyanidin B1","HMDB0029754","11250133","C10221","C1[C@@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O","1"
"Procyanidin C1","Procyanidin C1","HMDB0038370","169853","C17624","[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C2O[C@@H]([C@H](O)[C@@]([H])(C3=C(O)C=C(O)C4=C3O[C@@H]([C@H](O)C4)C3=CC(O)=C(O)C=C3)C2=C(O)C=C1O)C1=CC(O)=C(O)C=C1","1"
"Protopine","Protopine","HMDB0003920","4970","C05189","CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C5=C(C=C4)OCO5)OCO3","1"
"Quercetin","Quercetin","HMDB0005794","5280343","C00389","C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O","1"
"Quercetin 3-O-malonylglucoside","Quercetin 3-O-malonylglucoside","HMDB0037368","14730813","C12638","OC1C(O)C(COC(=O)CC(O)=O)OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)C1O","1"
"Quercetin-3-O-rhamnoside","NA","NA","NA","NA","NA","0"
"Quercetin-3-O-rutinoside","NA","NA","NA","NA","NA","0"
"Quercetin-3-O-xyloside","NA","NA","NA","NA","NA","0"
"Quercetin-4-O-glucoside","NA","NA","NA","NA","NA","0"
"quercitrin","Quercitrin","HMDB0033751","5280459","C01750","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O","1"
"rhein","Rhein","HMDB0032876","10168","C10401","C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2=O)C(=O)O)O","1"
"Salidroside","Salidroside","METPA0744",NA,"C06046",NA,"1"
"Secoisolariciresinol","Secoisolariciresinol","HMDB0013692","65373","C18167","COC1=C(C=CC(=C1)C[C@@H](CO)[C@@H](CC2=CC(=C(C=C2)O)OC)CO)O","1"
"Securinine","NA","NA","NA","NA","NA","0"
"skimmin","NA","NA","NA","NA","NA","0"
"skullcapflavone II","Skullcapflavone II",NA,"124211","C10183","COc1cccc(O)c1-c1cc(=O)c2c(O)c(OC)c(OC)c(OC)c2o1","1"
"Tectorigenin","Tectorigenin","HMDB0042024","5281811","C10534","COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O","1"
"trans-4-Coumaric acid","NA","NA","NA","NA","NA","0"
"TRYPTOPHAN","L-Tryptophan","HMDB0000929","6305","C00078","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"Undulatoside A","NA","NA","NA","NA","NA","0"
"(-)-10-Methoxyvincamedine","NA","NA","NA","NA","NA","0"
"(-)-11-Methoxy-17-epivincamajine","NA","NA","NA","NA","NA","0"
"(-)-2,3-Dihydrocitromycetin","NA","NA","NA","NA","NA","0"
"(-)-5-demethylyatein","NA","NA","NA","NA","NA","0"
"(-)-8-(2-Carboxy-1-phenylethyl)-3,5,7-trihydroxyflavone delta-lactone(-)-9,10-Dihydro-3,5-dihydroxy-2,10-diphenyl-4H,8H-benzo[1,2-b:3,4-b]dipyran-4,8-dione","NA","NA","NA","NA","NA","0"
"(-)-AnabasineAnabasine","NA","NA","NA","NA","NA","0"
"(-)-Apicularen AApicularen AApicularene A","NA","NA","NA","NA","NA","0"
"(-)-ApparicineApparicine","NA","NA","NA","NA","NA","0"
"(-)-bursehernin","NA","NA","NA","NA","NA","0"
"(-)-Carvone","(R)-Carvone","HMDB0035089","439570","C01767","CC1=CC[C@H](CC1=O)C(=C)C","1"
"(-)-Catechin 3-O-gallate","(-)-Catechin 3-O-gallate","HMDB0029255","6419835",NA,"C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O","1"
"(-)-Columbianetin","NA","NA","NA","NA","NA","0"
"(-)-Cuanzine","NA","NA","NA","NA","NA","0"
"(-)-epicatechin-3-O-gallate","NA","NA","NA","NA","NA","0"
"(-)-GypsetinGypsetinGypsetine","NA","NA","NA","NA","NA","0"
"(-)-HydroxysugiresinolSequirin B","NA","NA","NA","NA","NA","0"
"(-)-Lankacidin CAntibiotic T 2636CBundlin ALankacidin CNSC 145118T 2636C","NA","NA","NA","NA","NA","0"
"(-)-Limacine 2-beta-N-oxideLimacine 2-beta-N-oxide","NA","NA","NA","NA","NA","0"
"(-)-Maackiain 3-sulfate","NA","NA","NA","NA","NA","0"
"(-)-medicarpin-3-O-glucoside","NA","NA","NA","NA","NA","0"
"(-)-Menthol","NA","NA","NA","NA","NA","0"
"(-)-Menthone","(-)-Menthone","HMDB0035162","26447","C00843","C[C@@H]1CC[C@H](C(=O)C1)C(C)C","1"
"(-)-Menthyl O-beta-D-glucoside","Menthyl pyrrolidone carboxylate","HMDB0032368","5459767","C03962","C[C@@H]1CC[C@H]([C@@H](C1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(C)C","1"
"(-)-Monascumic acid","NA","NA","NA","NA","NA","0"
"(-)-N-Acetylardeemin5-N-AcetylardeeminN-AcetylardeeminN-Acetylardeemine","NA","NA","NA","NA","NA","0"
"(-)-NitropeptinNitropeptin","NA","NA","NA","NA","NA","0"
"(-)-Notoamide T","NA","NA","NA","NA","NA","0"
"(-)-OlivilVladinol C","NA","NA","NA","NA","NA","0"
"(-)-Ormosanine","NA","NA","NA","NA","NA","0"
"(-)-S 15183aS 15183a","NA","NA","NA","NA","NA","0"
"(-)-Sonchuside ISonchuside I[3S-(3alpha,3aalpha,5abeta,6beta,9alpha,9aalpha,9bbeta)]-9-[(beta-D-Glucopyranosyloxy)methyl]decahydro-6-hydroxy-3,5a-dimethylnaphtho[1,2-b]furan-2(3H)-one","NA","NA","NA","NA","NA","0"
"(-)-Spirocalcaridine B","NA","NA","NA","NA","NA","0"
"(-)-Sympatol","NA","NA","NA","NA","NA","0"
"(-)-trans-carveol","(-)-trans-Carveol","HMDB0003450","94221","C00964","CC1=CC[C@H](C[C@@H]1O)C(=C)C","1"
"(-)-WoodinineWoodinine","NA","NA","NA","NA","NA","0"
"(-)-Xylariamide A","NA","NA","NA","NA","NA","0"
"(-)-yatein","NA","NA","NA","NA","NA","0"
"(+)-1,5-Dimethyl-6,8-dioxabicyclo[3.2.1]octane(R)-(+)-Frontalin","NA","NA","NA","NA","NA","0"
"(+)-7-epi-jasmonoyl-CoA","NA","NA","NA","NA","NA","0"
"(+)-9,10-Dihydro-7-iso-jasmonic acid","NA","NA","NA","NA","NA","0"
"(+)-Adlumine","NA","NA","NA","NA","NA","0"
"(+)-AltholactoneAltholactoneGoniothalenol","NA","NA","NA","NA","NA","0"
"(+)-Antibiotic K 252a(+)-Antibiotic SF 2370Protein kinase inhibitor K252aSF 2370","NA","NA","NA","NA","NA","0"
"(+)-BisnorobamegineN,N-Didemethylobamegine","NA","NA","NA","NA","NA","0"
"(+)-Bornane-2,5-dione","(+)-Bornane-2,5-dione",NA,"20218","C03037","CC12CC(=O)C(CC1=O)C2(C)C","1"
"(+)-ConageninConagenin","NA","NA","NA","NA","NA","0"
"(+)-Decarestrictin L(+)-Decarestrictine LDecarestrictin LSM 240","NA","NA","NA","NA","NA","0"
"(+)-Dioxinoacrimarine A","NA","NA","NA","NA","NA","0"
"(+)-Duocarmycin C2Antibiotic SF 2582ADuocarmycin C2PyrindamycinPyrindamycin ASF 2582A","NA","NA","NA","NA","NA","0"
"(+)-EpolactaeneEpolactaene","NA","NA","NA","NA","NA","0"
"(+)-Ferruginol","NA","NA","NA","NA","NA","0"
"(+)-Geranin DGeranin D","NA","NA","NA","NA","NA","0"
"(+)-LeinamycinAntibiotic DC 107DC 107Leinamycin","NA","NA","NA","NA","NA","0"
"(+)-Mannostatin AMannostatinMannostatin A","NA","NA","NA","NA","NA","0"
"(+)-Neoacrimarine-G","Neoacrimarine G","HMDB0031135","131751141",NA,"COC1=CC2=C(C(O)=C1)C(=O)C1=C(N2C)C(OC2C(O)C(C)(C)OC3=C2C2=C(C=CC(=O)O2)C=C3)=CC=C1","1"
"(+)-Neomatatabiol","NA","NA","NA","NA","NA","0"
"(+)-O-MethylhamatineO-Methylhamatine","NA","NA","NA","NA","NA","0"
"(+)-PhomopsidinFungicidal TUF 95F47PhomopsidinTUF 95F47","NA","NA","NA","NA","NA","0"
"(+)-Pinoresinol","(+)-Pinoresinol",NA,"7741","C05366",NA,"1"
"(+)-Sandwicolidine","NA","NA","NA","NA","NA","0"
"(+)-secoisolariciresinol monoglucoside","NA","NA","NA","NA","NA","0"
"(+)-sesaminol 2-O-β-D-gentiobioside","NA","NA","NA","NA","NA","0"
"(+)-sesaminol 2-O-β-D-glucoside","NA","NA","NA","NA","NA","0"
"(+)-sesaminol 2-O-β-D-glucosyl (1->2)-O-[β-D-glucosyl (1->6)]-β-D-glucoside","NA","NA","NA","NA","NA","0"
"(+)-Sophorbenzamine","NA","NA","NA","NA","NA","0"
"(+)-Syringaresinol O-beta-D-glucoside","NA","NA","NA","NA","NA","0"
"(+)-Tulipalin B","NA","NA","NA","NA","NA","0"
"(+)-Vomalidine","NA","NA","NA","NA","NA","0"
"(+/-)-6-Acetonyldihydrochelerythrine","NA","NA","NA","NA","NA","0"
"(−)-Epicatechin","NA","NA","NA","NA","NA","0"
"(10S)-Juvenile hormone III acid diol","(10S)-Juvenile hormone III acid diol","METPA1793",NA,"C16506",NA,"1"
"(11Z,14Z,17Z,20Z)-Hexacosatetraenoic acid","NA","NA","NA","NA","NA","0"
"(12S,13S)-EOD(12S,13S)-Epoxylinolenic acid","NA","NA","NA","NA","NA","0"
"(13E)-8α-hydroxylabd-13-en-15-yl diphosphate","NA","NA","NA","NA","NA","0"
"(1alpha,3beta,5beta)-(-)-2-(3-Bromo-2,2,5-trimethylcyclopentyl)-5-methylphenol","NA","NA","NA","NA","NA","0"
"(1R,3R)-chrysanthemoyl CoA","NA","NA","NA","NA","NA","0"
"(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate","(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate",NA,"328082951","C21408",NA,"1"
"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate","(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate","METPA0692",NA,"C05817",NA,"1"
"(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene","(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene","HMDB0060300","11954044","C14791","[H][C@](N)(CCC(O)=N[C@@]([H])(CS[C@]1([H])C=CC2=CC=CC=C2[C@@]1([H])O)C(O)=NCC(O)=O)C(O)=O","1"
"(1S,2S)-3-Oxo-2[(2Z)-pentenyl]cyclopentane-1-butyric acid","NA","NA","NA","NA","NA","0"
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid","NA","NA","NA","NA","NA","0"
"(2S,3S,6R,8R)-Homononactoyl-(2R,3R,6S,S)-nonactic acidFeigrisolide C","NA","NA","NA","NA","NA","0"
"(2S)-Deoxymyxol 2-(2,4-di-O-methyl-alpha-L-fucoside)","NA","NA","NA","NA","NA","0"
"(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal","NA","NA","NA","NA","NA","0"
"(2E,6E)-farnesyl diphosphate","Farnesyl pyrophosphate","HMDB0000961","445713","C00448","CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C","1"
"(2E)-oct-2-enoyl-CoA","NA","NA","NA","NA","NA","0"
"(2R,3R)-3-Methylornithinyl-N6-lysine","(2R,3R)-3-Methylornithinyl-N6-lysine",NA,"163312018","C20278",NA,"1"
"(2R,3S,4S)-leucodelphinidin","NA","NA","NA","NA","NA","0"
"(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate","Tridecane","HMDB0034284","12388","C13834","CCCCCCCCCCCCC","1"
"(2Z)-2-aminobut-2-enoate","NA","NA","NA","NA","NA","0"
"(3,4-Dimethoxyphenyl)methanol","NA","NA","NA","NA","NA","0"
"(3E)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate","NA","NA","NA","NA","NA","0"
"(3E)-Dactomelyne","NA","NA","NA","NA","NA","0"
"(3Z,5E,10E)-7-Ethoxy-3,7,11,15-tetramethylhexadeca-1,3,5,10,14-pentaene","NA","NA","NA","NA","NA","0"
"(3Z)-hex-3-en-1-ol","(E)-3-Hexen-1-ol","HMDB0030003","5281167","C08492","CC/C=C\CCO","1"
"(4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine","(4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine",NA,"295369332","C21070",NA,"1"
"(5-L-Glutamyl)-L-glutamate","gamma-Glutamylglutamic acid","HMDB0011737","92865","C05282","C(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C(=O)O)N","1"
"(5-Phenyl-1,2,4-triazol-3-yl)urea","NA","NA","NA","NA","NA","0"
"(6S,9R)-Vomifoliol","NA","NA","NA","NA","NA","0"
"(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide","NA","NA","NA","NA","NA","0"
